Id_bien;No_voie;B/T/Q;Type_voie;Voie;Surface_carrez;Type_local;Nombre_pieces;codedep_codecom
6569;9;B;RUE;RICHELIEU;54,67;Appartement;3;33167
6570;11;;AV;DE LA GARONNE;69,14;Appartement;3;33167
6571;1;;ALL;F. GOYA;70,29;Appartement;3;33167
6572;3;;RUE;SIMONE VEIL;43,69;Appartement;2;33312
6573;10;;RUE;ANNA DE NOAILLES;22,39;Appartement;2;33312
6574;48;;RUE;FRANCOIS MITTERRAND;68,54;Appartement;3;33256
6575;12;;ALL;DES TOURBIERES;62,47;Maison;3;33312
6576;5;;RUE;DES ECOLES;57,88;Appartement;3;33312
6577;8;;RUE;DES CYPRES CHAUVES;65,37;Maison;3;33312
6578;21;;ALL;DES TOURBIERES;61,85;Appartement;3;33312
6579;22;;RUE;DU MAL LECLERC;60,53;Appartement;3;33056
6580;22;;RUE;DU MAL LECLERC;68;Appartement;3;33056
6581;21;;RUE;DES CYPRES CHAUVES;61,25;Appartement;3;33312
6582;9001;;AV;DU GEN DE GAULLE;63,46;Appartement;3;33056
6583;26;;RUE;DE L ANCIENNE POSTE;44,03;Appartement;2;33312
6584;32;;RUE;DE LA FORTERESSE;66,55;Appartement;3;33056
6585;5;;RUE;BOTHIRON;49,53;Appartement;3;33056
6586;9001;;AV;DU GEN DE GAULLE;79,74;Appartement;4;33056
